No;Kategori;Produk/Jasa/PT;Nama Kontak;Telepon
79;SIPIL and MEP;DINAMIKA INDONESIA PRESISI, PT;Iwan;+6285815754766
80;SIPIL and MEP;TRIKARYA INTI HUTAMA, PT;Aris;+6281296106600
81;SIPIL and MEP;SINAR KARUNIA ABADI, CV;Yohannes;+6281333000088
82;SIPIL and MEP;SINERGI ANUGERAH LESTARI, PT;Tommy;+6281332000578
83;SIPIL and MEP;MITRA TAMA SINERGI, PT;Yasin;+6285172294231
84;SIPIL and MEP;GHARAKI ENCO NUSANTARA, PT;Iswan;+6281212412452
85;SIPIL and MEP;TIGA PILAR ENTALISPRO, PT;Taufiq;+6281943436767
86;SIPIL and MEP;TIRTAMAS BANGUN KARYA, PT;Kenny;+62811162099
87;SIPIL and MEP;MULTI GUNA GLOBALINDO, PT;Fendik;031-39924518
88;PERAWATAN UNIT AC;REITOU TEKNIK ABADI, PT;Siswantoro;+6281296597349
89;PERAWATAN UNIT AC;SINAR MULYA JAYA, CV;Buwono;021-22557260
90;PERAWATAN UNIT AC;ANGKASA ABADI PERMAI, PT;Panji Nugroho;+6281284005037
91;PERAWATAN UNIT AC;SETIAWAN TEKNIK, CV;Eris;+6281399755904
92;PERAWATAN UNIT AC;DUTA BINA TEKNIK, CV;Aldi;+6281249457129
93;PERAWATAN UNIT AC;AYUB PODO RUKUN, CV;Andreas;+6282233889990
94;PERAWATAN UNIT AC;DESTHA TECH, CV;Riyanto;+6281391550426
95;PERAWATAN UNIT AC;DALISTA SEJUK ABADI, PT;Rendi;+6287831694311
96;PERAWATAN UNIT AC;MUTIARA TEKNIK CIKARANG, PT;Randi;021-89905573
97;PERAWATAN UNIT AC;SINAR KARYA UTAMA, PT;Arsonik;+6281288999556
98;PENGENDALIAN HAMA & RAYAP;INSEKTA FOKUSTAMA, PT;Wahyu;021-22988812
99;PENGENDALIAN HAMA & RAYAP;UMAS PESTISINDO PRATAMA, PT;Made;+6281337553373
100;PENGENDALIAN HAMA & RAYAP;PROTEKSI GRAHA MAKMUR, PT;Aris;+62818406088
101;PENGENDALIAN HAMA & RAYAP;ATRINDO ASIA GLOBAL, PT;Rini;+6281211390166
102;PENGENDALIAN HAMA & RAYAP;HAKNUSA TAPEKON RAYA, CV;Haksini;+62811312098
103;PENGENDALIAN HAMA & RAYAP;CITRA MANDIRI MITRA SEJATI, PT;Adrian;+6281235551978
104;PENGENDALIAN HAMA & RAYAP;IMPERIAL MAJU MANDIRI, PT;N/A;+6282131842588
105;PENGENDALIAN HAMA & RAYAP;ETOS SURYANUSA, PT;Cherry;+6281133349055
